"character","meaning","readings","examples","ready"
"強","fort","きょう・ごう・つよ・し","きょう：勉強（べんきょう）
ごう：強引（ごういん）
つよ：強い（つよい）
し：強いて（しいて）","true"
"弱","faible","じゃく・よわ","じゃく：弱（じゃく）
よわ：弱い（よわい）","true"
"暑","chaud","しょ・あつ","しょ：炎暑（えんしょ）
あつ：暑い（あつい）","true"
"寒","froid (temps)","かん・さむ","かん：悪寒（おかん）
さむ：寒い（さむい）","true"
"旅","voyage","りょ・たび","りょ：旅行（りょこう）
たび：旅（たび）","true"
"持","avoir","じ・も","じ：維持（いじ）
も：金持ち（かねもち）","true"
"世","génération","せい・せ・よ","せい：世々（せいせい）
せ：世界（せかい）
よ：世々（よよ）","true"
"界","monde","かい","かい：世界（せかい）","true"
"写","copie","しゃ・じゃ・うつ","しゃ：写真（しゃしん）
じゃ：顔写真（かおじゃしん）
うつ：写し（うつし）","true"
"真","exact","しん・ま・まこと","しん：写真（しゃしん）
ま：真ん中（まんなか）
まこと：真に（まことに）","true"
"船","bateau","せん・ふね・ふな","せん：宇宙船（うちゅうせん）
ふね：船（ふね）
ふな：船便（ふなびん）","true"
"勉","exercice","べん・つと","べん：勉強（べんきょう）
つと：勉める（つとめる）","true"
"漢","sino-","かん","かん：漢字（かんじ）","true"
"宿","auberge","しゅく・やど","しゅく：宿題（しゅくだい）
やど：宿（やど）","true"
"題","sujet","だい","だい：宿題（しゅくだい）","true"
"質","substance","しつ・しち・たち・ただ","しつ：質（しつ）
しち：言質（げんしち）
たち：質悪い（たちわるい）
ただ：質す（ただす）","true"
"問","question","もん・と・とん","もん：問題（もんだい）
と：問い（とい）
とん：問屋（とんや）","true"
"教","enseigner","きょう・おし・おそ","きょう：教師（きょうし）
おし：教える（おしえる）
おそ：教わる（おそわる）","true"
"室","pièce","しつ・むろ","しつ：教室（きょうしつ）
むろ：石室（いしむろ）","true"
"試","test","し・こころ・ため","し：試験（しけん）
こころ：試み（こころみ）
ため：試し（ためし）","true"
"験","vérification","けん・げん・しるし","けん：試験（しけん）
げん：効験（こうげん）
しるし：馬験（うまじるし）","true"
"答","solution","とう・こた","とう：回答（かいとう）
こた：答え（こたえ）","true"
"考","réfléchir","こう・かんが","こう：一考（いっこう）
かんが：考える（かんがえる）","true"
"正","correct","せい・しょう・ただ・まさ","せい：正々（せいせい）
しょう：正月（しょうがつ）
ただ：正しい（ただしい）
まさ：正に（まさに）","true"
"丸","rond","がん・まる","がん：一丸（いちがん）
まる：丸い（まるい）","true"
"不","négation","ふ・ぶ","ふ：不便（ふべん）
ぶ：不粋（ぶいき）","true"
"同","identique","どう・おな","どう：同（どう）
おな：同じ（おなじ）","true"
"貸","prêter","たい・か・かし","たい：借貸（しゃくたい）
か：貸す（かす）
かし：貸付（かしつけ）","true"
"借","emprunter","しゃく・か","しゃく：恩借（おんしゃく）
か：借りる（かりる）","true"
"返","rendre","へん・かえ","へん：返事（へんじ）
かえ：返す（かえす）","true"
"冊","tome","さつ・さく","さつ：冊（さつ）
さく：冊立（さくりつ）","true"
"歴","historique","れき・れっき","れき：歴史（れきし）
れっき：歴とした（れっきとした）","true"
"史","histoire","し","し：歴史（れきし）","true"
"図","carte","ず・と・はか","ず：地図（ちず）
と：図書館（としょかん）
はか：図る（はかる）","true"
"運","porter","うん・はこ","うん：運動会（うんどうかい）
はこ：運ぶ（はこぶ）","true"
"動","bouger","どう・うご","どう：自動車（じどうしゃ）
うご：動く（うごく）","true"
"練","pratiquer","れん・ね","れん：練習（れんしゅう）
ね：練る（ねる）","true"
"習","apprendre","しゅう・じゅ・なら","しゅう：練習（れんしゅう）
じゅ：近習（きんじゅ）
なら：習う（ならう）","true"
"走","courir","そう・はし","そう：逸走（いっそう）
はし：走る（はしる）","true"
"歩","marcher","ほ・ぶ・ある・あゆ","ほ：巨歩（きょほ）
ぶ：町歩（ちょうぶ）
ある：歩く（あるく）
あゆ：歩み（あゆみ）","true"
"泳","nager","えい・およ","えい：水泳（すいえい）
およ：泳ぐ（およぐ）","true"
"才","génie","さい","さい：天才（てんさい）","true"
"自","soi-même","じ・し・みずか・おの","じ：自動車（じどうしゃ）
し：自動車（じどうしゃ）
みずか：自ら（みずから）
おの：自ずと（おのずと）","true"
"然","un certain","ぜん・ねん・しか・さ","ぜん：全然（ぜんぜん）
ねん：天然（てんねん）
しか：然る（しかる）
さ：然も（さも）","true"
"草","herbe","そう・くさ・ぐさ","そう：草々（そうそう）
くさ：草（くさ）
ぐさ：い草（いぐさ）","true"
"原","pré","げん・はら","げん：原料（げんりょう）
はら：原（はら）","true"
"湖","lac","こ・みずうみ","こ：琵琶湖（びわこ）
みずうみ：湖（みずうみ）","true"
"谷","vallée","こく・たに・きわ","こく：峡谷（きょうこく）
たに：谷（たに）
きわ：谷まる（きわまる）","true"
"海","mer","かい・うみ","かい：海外（かいがい）
うみ：海（うみ）","true"
"辺","environs","へん・あた・ほと","へん：この 辺（この へん）
あた：辺り（あたり）
ほと：辺り（ほとり）","true"
"里","hameau","り・さと","り：万里の 長城（ばんりの ちょうじょう）
さと：里（さと）","true"
"野","sauvage","や・の","や：野菜（やさい）
の：野（の）","true"
"緑","vert","りょく・ろく・みどり","りょく：黄緑（おうりょく）
ろく：緑青（ろくしょう）
みどり：緑（みどり）","true"
"池","étang","ち・いけ","ち：電池（でんち）
いけ：池（いけ）","true"
"鳥","oiseau","ちょう・とり","ちょう：愛鳥（あいちょう）
とり：鳥肉（とりにく）","true"
"羽","plume","う・は・わ","う：羽衣（うい）
は：羽（はね）
わ：一羽（いちわ）","true"
"馬","cheval","ば・め・うま・ま","ば：白馬（はくば）
め：主馬（しゅめ）
うま：馬（うま）
ま：馬（うま）","true"
"鳴","gazouiller","めい・な","めい：共鳴（きょうめい）
な：鳴く（なく）","true"
